tick,task_name,task_value,revenue,cost,agent_id
0,Farm,40,40,0,0
0,Farm,40,40,0,9
0,Farm,40,40,0,1
0,Farm,40,40,0,3
0,Farm,40,40,0,4
0,Farm,40,40,0,5
0,Farm,40,40,0,6
0,Farm,40,40,0,7
0,Farm,40,40,0,2
0,Farm,40,40,0,8
1,Farm,30,30,0,0
1,Farm,30,30,0,9
1,Farm,30,30,0,1
1,Farm,30,30,0,3
1,Farm,30,30,0,4
1,Farm,30,30,0,5
1,Farm,30,30,0,6
1,Farm,30,30,0,7
1,Farm,30,30,0,2
1,Farm,30,30,0,8
2,Farm,20,20,0,0
2,Farm,20,20,0,9
2,Farm,20,20,0,1
2,Farm,20,20,0,3
2,Farm,20,20,0,4
2,Farm,20,20,0,5
2,Farm,20,20,0,6
2,Farm,20,20,0,7
2,Farm,20,20,0,2
2,Farm,20,20,0,8
3,Farm,20,20,0,1
3,Farm,20,20,0,6
